t_utc,solar,demand
2022-01-01 00:00:00+00:00,28.0,9403.0
2022-01-01 01:00:00+00:00,-2.0,9815.0
2022-01-01 02:00:00+00:00,1.0,9614.0
2022-01-01 03:00:00+00:00,-1.0,9413.0
2022-01-01 04:00:00+00:00,-1.0,9238.0
2022-01-01 05:00:00+00:00,-1.0,8985.0
2022-01-01 06:00:00+00:00,-1.0,8567.0
2022-01-01 07:00:00+00:00,0.0,8324.0
2022-01-01 08:00:00+00:00,-1.0,8092.0
2022-01-01 09:00:00+00:00,-1.0,7893.0
2022-01-01 10:00:00+00:00,-2.0,7822.0
2022-01-01 11:00:00+00:00,-1.0,7813.0
2022-01-01 12:00:00+00:00,-1.0,7875.0
2022-01-01 13:00:00+00:00,-2.0,8004.0
2022-01-01 14:00:00+00:00,-1.0,8188.0
2022-01-01 15:00:00+00:00,0.0,8421.0
2022-01-01 16:00:00+00:00,17.0,8678.0
2022-01-01 17:00:00+00:00,57.0,8900.0
2022-01-01 18:00:00+00:00,93.0,9109.0
2022-01-01 19:00:00+00:00,90.0,9223.0
2022-01-01 20:00:00+00:00,100.0,9173.0
2022-01-01 21:00:00+00:00,107.0,9108.0
2022-01-01 22:00:00+00:00,93.0,9039.0
2022-01-01 23:00:00+00:00,69.0,9083.0
2022-01-02 00:00:00+00:00,13.0,9467.0
2022-01-02 01:00:00+00:00,-2.0,10171.0
2022-01-02 02:00:00+00:00,0.0,10201.0
2022-01-02 03:00:00+00:00,-1.0,10081.0
2022-01-02 04:00:00+00:00,-1.0,9887.0
2022-01-02 05:00:00+00:00,-1.0,9536.0
2022-01-02 06:00:00+00:00,-2.0,9133.0
2022-01-02 07:00:00+00:00,0.0,8747.0
2022-01-02 08:00:00+00:00,-2.0,8518.0
2022-01-02 09:00:00+00:00,-1.0,8416.0
2022-01-02 10:00:00+00:00,-1.0,8349.0
2022-01-02 11:00:00+00:00,-2.0,8234.0
2022-01-02 12:00:00+00:00,-3.0,8243.0
2022-01-02 13:00:00+00:00,-2.0,8354.0
2022-01-02 14:00:00+00:00,-1.0,8556.0
2022-01-02 15:00:00+00:00,9.0,8773.0
2022-01-02 16:00:00+00:00,126.0,8931.0
2022-01-02 17:00:00+00:00,283.0,8884.0
2022-01-02 18:00:00+00:00,454.0,8800.0
2022-01-02 19:00:00+00:00,535.0,8729.0
2022-01-02 20:00:00+00:00,540.0,8583.0
2022-01-02 21:00:00+00:00,559.0,8483.0
2022-01-02 22:00:00+00:00,601.0,8320.0
2022-01-02 23:00:00+00:00,396.0,8419.0
2022-01-03 00:00:00+00:00,51.0,8928.0
2022-01-03 01:00:00+00:00,-1.0,9666.0
2022-01-03 02:00:00+00:00,1.0,9638.0
2022-01-03 03:00:00+00:00,1.0,9514.0
2022-01-03 04:00:00+00:00,-1.0,9327.0
2022-01-03 05:00:00+00:00,-1.0,8990.0
2022-01-03 06:00:00+00:00,-1.0,8642.0
2022-01-03 07:00:00+00:00,-1.0,8332.0
2022-01-03 08:00:00+00:00,0.0,8120.0
2022-01-03 09:00:00+00:00,-1.0,8018.0
2022-01-03 10:00:00+00:00,-2.0,7939.0
2022-01-03 11:00:00+00:00,-2.0,8005.0
2022-01-03 12:00:00+00:00,0.0,8202.0
2022-01-03 13:00:00+00:00,-1.0,8512.0
2022-01-03 14:00:00+00:00,-1.0,8939.0
2022-01-03 15:00:00+00:00,43.0,9183.0
2022-01-03 16:00:00+00:00,347.0,9267.0
2022-01-03 17:00:00+00:00,491.0,9263.0
2022-01-03 18:00:00+00:00,596.0,9028.0
2022-01-03 19:00:00+00:00,592.0,8901.0
2022-01-03 20:00:00+00:00,574.0,8753.0
2022-01-03 21:00:00+00:00,583.0,8516.0
2022-01-03 22:00:00+00:00,610.0,8521.0
2022-01-03 23:00:00+00:00,403.0,8606.0
2022-01-04 00:00:00+00:00,46.0,8980.0
2022-01-04 01:00:00+00:00,-1.0,9691.0
2022-01-04 02:00:00+00:00,0.0,9629.0
2022-01-04 03:00:00+00:00,0.0,9410.0
2022-01-04 04:00:00+00:00,-1.0,9241.0
2022-01-04 05:00:00+00:00,-1.0,8813.0
2022-01-04 06:00:00+00:00,-2.0,8393.0
2022-01-04 07:00:00+00:00,-2.0,7972.0
2022-01-04 08:00:00+00:00,-2.0,7717.0
2022-01-04 09:00:00+00:00,-2.0,7766.0
2022-01-04 10:00:00+00:00,0.0,7716.0
2022-01-04 11:00:00+00:00,-2.0,7691.0
2022-01-04 12:00:00+00:00,-1.0,7857.0
2022-01-04 13:00:00+00:00,-1.0,8293.0
